,city,school_name,sector,school_subclass,curricular_class
120,manila,"samantabhadra educational institute, inc.",private,non-sectarian,es and jhs (k to 10)
121,manila,"san sebastian college-recoletos, manila",private,sectarian,all offering (k to 12)
122,manila,sta. catalina college,private,non-sectarian,all offering (k to 12)
123,manila,university of the east,private,non-sectarian,all offering (k to 12)
124,manila,bethel high school / knox grade school,private,non-sectarian,es and jhs (k to 10)
125,manila,espiritu santo parochial school,private,sectarian,all offering (k to 12)
126,manila,"manila patriotic school, inc.",private,sectarian,es and jhs (k to 10)
127,manila,philippine sun yat sen high school,private,non-sectarian,es and jhs (k to 10)
128,manila,central institute of technology (cit colleges),private,non-sectarian,purely jhs
129,manila,"christian academy of manila, inc.",private,non-sectarian,es and jhs (k to 10)
130,manila,the national teachers college,private,non-sectarian,all offering (k to 12)
131,manila,philippine college of criminology high school,private,non-sectarian,jhs with shs
132,manila,the nazarene catholic school,private,sectarian,all offering (k to 12)
133,manila,saint jude catholic school,private,sectarian,all offering (k to 12)
134,manila,"saint rita college-manila, inc.",private,sectarian,es and jhs (k to 10)
135,manila,lorenzo ruiz academy,private,sectarian,all offering (k to 12)
136,manila,philippine academy of sakya,private,non-sectarian,all offering (k to 12)
137,manila,philippine jin nan institute,private,non-sectarian,purely es
138,manila,tiong se academy,private,non-sectarian,all offering (k to 12)
139,manila,st. stephen's high school,private,non-sectarian,all offering (k to 12)
140,manila,holy trinity academy,private,non-sectarian,all offering (k to 12)
141,manila,the university of manila,private,non-sectarian,all offering (k to 12)
142,manila,"nazareth school of national university, inc.",private,non-sectarian,all offering (k to 12)
143,manila,dominican school,private,sectarian,all offering (k to 12)
144,manila,perpetual help college of manila,private,non-sectarian,jhs with shs
145,manila,st. jude college,private,non-sectarian,all offering (k to 12)
146,manila,gloria dei christian school,private,sectarian,purely es
147,manila,manila christian day school,private,non-sectarian,purely es
148,manila,regina apostolorum academy,private,non-sectarian,es and jhs (k to 10)
149,manila,sacred heart of jesus catholic school,private,sectarian,all offering (k to 12)
150,manila,"don bosco school (salesian sisters), inc.",private,sectarian,all offering (k to 12)
151,manila,"philippine chung hua school, inc.",private,non-sectarian,all offering (k to 12)
152,manila,three angels educational center,private,non-sectarian,es and jhs (k to 10)
153,manila,"paco catholic school, inc.",private,sectarian,all offering (k to 12)
154,manila,paco citizen foundation academy,private,non-sectarian,all offering (k to 12)
155,manila,adamson university,private,non-sectarian,all offering (k to 12)
156,manila,colegio de san juan de letran,private,non-sectarian,all offering (k to 12)
157,manila,colegio de santa rosa,private,sectarian,es and jhs (k to 10)
158,manila,ermita catholic school,private,sectarian,purely jhs
159,manila,jesus reigns christian academy foundation,private,non-sectarian,all offering (k to 12)
160,manila,jose abad santos memorial school (jasm),private,non-sectarian,es and jhs (k to 10)
161,manila,malate catholic school,private,sectarian,all offering (k to 12)
162,manila,philippine christian university corporation,private,non-sectarian,all offering (k to 12)
163,manila,philippine women's university,private,non-sectarian,jhs with shs
164,manila,st. anthony school,private,sectarian,all offering (k to 12)
165,manila,"st. scholastica's college, manila",private,non-sectarian,all offering (k to 12)
166,manila,santa isabel college of manila,private,non-sectarian,all offering (k to 12)
167,manila,holy family parochial school,private,sectarian,purely es
168,manila,"republic institute of manila, inc.",private,non-sectarian,es and jhs (k to 10)
169,manila,st. peter the apostle school,private,non-sectarian,all offering (k to 12)
170,manila,st. joseph's school (pandacan),private,sectarian,es and jhs (k to 10)
171,manila,la concordia college,private,non-sectarian,all offering (k to 12)
172,manila,metropolitan int'l. christian acad. (for. bible baptist educ. inst),private,sectarian,es and jhs (k to 10)
173,manila,st. mary's academy,private,sectarian,all offering (k to 12)
174,manila,st. pius x parochial school,private,sectarian,purely es
175,manila,metropolitan academy of manila,private,sectarian,es and jhs (k to 10)
176,manila,saint francis school,private,sectarian,all offering (k to 12)
177,manila,st. matthew of blumentritt institute of technology,private,sectarian,jhs with shs
178,manila,ama computer learning center - paco,private,sectarian,purely shs
179,manila,interface computer college,private,sectarian,jhs with shs
180,manila,de ocampo memorial college,private,sectarian,jhs with shs
181,manila,gildel child development center,private,non-sectarian,purely es
182,manila,regina angelium school,private,non-sectarian,purely es
183,manila,"twin's k tutorial and learning school, inc.",private,sectarian,purely es
184,manila,"moving every morning learning center, inc.",private,non-sectarian,purely es
185,manila,"st. vincent learning center of manila, inc.",private,non-sectarian,purely es
186,manila,"the salvation army educational services, inc.",private,non-sectarian,purely es
187,manila,"five j christian academy, inc.",private,non-sectarian,purely es
188,manila,"san pablo apostol learning center, inc.",private,non-sectarian,purely es
189,manila,"kinder bright montessori school, inc.",private,non-sectarian,purely es
190,manila,"theresa andrea preschool, inc.",private,non-sectarian,purely es
191,manila,"amazing kids preschoolers, inc.",private,non-sectarian,purely es
192,manila,"starbright academy of manila, inc.",private,non-sectarian,purely es
193,manila,angels of hope academy inc.,private,non-sectarian,purely es
194,manila,"fruits of faith school, inc.",private,non-sectarian,purely es
195,manila,"smartminds learning center of tondo, inc.",private,non-sectarian,purely es
196,manila,"a. veloso pre-school foundation, inc.",private,non-sectarian,purely es
197,manila,"holy rosary kiddie pre-school of manila, inc.",private,non-sectarian,purely es
198,manila,self reliance and development konkokyo learning center,private,non-sectarian,purely es
199,manila,aguinaldo international school,private,non-sectarian,all offering (k to 12)
200,manila,"st. dominic montessori de manila, inc",private,non-sectarian,es and jhs (k to 10)
201,manila,manila central adventist elementary school,private,non-sectarian,purely es
202,manila,jesus is lord christian school - malate,private,non-sectarian,es and jhs (k to 10)
203,manila,gymnazo christian academy school,private,sectarian,all offering (k to 12)
204,manila,"operation brotherhood montessori center, inc.",private,non-sectarian,all offering (k to 12)
205,manila,"the lord is my sheperd school of manila, inc.",private,non-sectarian,es and jhs (k to 10)
206,manila,college of the holy spirit manila,private,sectarian,all offering (k to 12)
207,manila,shiloh christian academy of tondo,private,non-sectarian,purely es
208,manila,"st. lino science high school, inc.",private,non-sectarian,jhs with shs
209,manila,aim christian learning center,private,non-sectarian,purely es
210,manila,"our lady of divine grace school de manila, inc.",private,sectarian,es and jhs (k to 10)
211,manila,st. teodora school and tutorial center,private,non-sectarian,es and jhs (k to 10)
212,manila,"st. john academy of manila foundation, inc.",private,non-sectarian,es and jhs (k to 10)
213,manila,mary jane school of manila,private,sectarian,purely es
214,manila,st. vincent blessed school of manila,private,non-sectarian,es and jhs (k to 10)
215,manila,today for tomorrows learners preschool,private,non-sectarian,purely es
216,manila,star kids development and learning center,private,non-sectarian,purely es
217,manila,guzman college of science & technology inc.,private,non-sectarian,jhs with shs
218,manila,our lady of fatima parochial educational center (bacood) inc.,private,non-sectarian,es and jhs (k to 10)
219,manila,sta. mesa divine faith academy inc.,private,non-sectarian,es and jhs (k to 10)
220,manila,university of santo tomas high school,private,sectarian,jhs with shs
221,manila,malayan high school of science,private,non-sectarian,jhs with shs
222,manila,st. vincent learning center of manila - d. santiago,private,non-sectarian,purely es
223,manila,the great wisdom achievers school inc.,private,non-sectarian,purely es
224,manila,royal christian academy,private,non-sectarian,purely es
225,manila,"eton international school, inc.",private,sectarian,es and jhs (k to 10)
226,manila,jaime cardinal sin learning center,private,sectarian,all offering (k to 12)
227,manila,little children's school,private,non-sectarian,purely es
228,manila,iqra integrated english & arabic school,private,non-sectarian,purely es
229,manila,"cerecare philippines, inc",private,sectarian,purely es
230,manila,"build-up knowledge learning center, corp.",private,sectarian,purely es
231,manila,"affordable private education center, inc. (apec schools) -tondo br.",private,sectarian,jhs with shs
232,manila,affordable private education center (apec schools) -españa br.,private,sectarian,jhs with shs
233,manila,"affordable private education center, inc. (apec schools) -g. tuazon, sampalo",private,sectarian,jhs with shs
234,manila,universidad de manila,sucs/lucs,luc,jhs with shs
235,manila,lapu-lapu elementary school,public,deped managed,purely es
236,manila,manuel l. quezon high school,public,deped managed,jhs with shs
237,manila,"scuola maria ferrari de manila, inc.",private,non-sectarian,purely es
238,manila,precious alexandrite learning center inc.,private,non-sectarian,purely es
239,manila,"pristine heritage academy, corp.",private,sectarian,purely es
240,manila,"villarama child learning center, inc.",private,non-sectarian,purely es
241,manila,"learning time school, inc.",private,non-sectarian,purely es
242,manila,f. g. calderon elementary school,public,deped managed,es and jhs (k to 10)
243,manila,antonio luna elementary school,public,deped managed,purely es
244,manila,mariano ponce elementary school,public,deped managed,purely es
245,manila,melchora aquino elementary school,public,deped managed,purely es
246,manila,plaridel elementary school,public,deped managed,purely es
247,manila,florentino torres high school,public,deped managed,jhs with shs
248,manila,francisco benitez elementary school,public,deped managed,purely es
249,manila,lakan dula elementary school,public,deped managed,purely es
250,manila,lakan dula high school,public,deped managed,purely jhs
251,manila,cambridge children's learning and development inc.,private,non-sectarian,purely es
252,manila,gregoria de jesus es,public,deped managed,purely es
253,manila,librada avelino es,public,deped managed,purely es
254,manila,jose p. laurel high school,public,deped managed,purely jhs
255,manila,arsenio h. lacson elementary school,public,deped managed,purely es
256,manila,t. paez integrated school,public,deped managed,all offering (k to 12)
257,manila,j. p. rizal elementary school,public,deped managed,purely es
258,manila,emilio jacinto elementary school,public,deped managed,purely es
259,manila,dr. juan g. nolasco high school,public,deped managed,purely jhs
260,manila,gen. vicente lim elementary school,public,deped managed,purely es
261,manila,teodoro r. yangco elementary school,public,deped managed,purely es
262,manila,antonio j. villegas vocational high school,public,deped managed,purely jhs
263,manila,a. v. hernandez elementary school,public,deped managed,purely es
264,manila,tondo high school,public,deped managed,jhs with shs
265,manila,manuel  l. quezon elementary school,public,deped managed,purely es
266,manila,magat salamat elementary school,public,deped managed,purely es
267,manila,gregorio perfecto high school,public,deped managed,purely jhs
268,manila,i. delos reyes es,public,deped managed,purely es
269,manila,j. c. de jesus elementary school,public,deped managed,purely es
270,manila,r. almario elementary school,public,deped managed,purely es
271,manila,r. almario es - isla puting bato es,public,deped managed,purely es
272,manila,r. almario elementary school - parola annex,public,deped managed,purely es
273,manila,gen. gregorio del pilar es,public,deped managed,purely es
274,manila,gen. maximo hizon elementary school,public,deped managed,purely es
275,manila,"gregorio del pilar es, centex",public,deped managed,purely es
276,manila,"pres. sergio osmena, sr. high school",public,deped managed,jhs with shs
277,manila,andres bonifacio elementary school,public,deped managed,purely es
278,manila,e. a. remigio es,public,deped managed,purely es
279,manila,a. mabini elementary school,public,deped managed,purely es
280,manila,dona teodora alonzo hs,public,deped managed,jhs with shs
281,manila,cayetano arellano high school,public,deped managed,jhs with shs
282,manila,jose abad santos high school,public,deped managed,jhs with shs
283,manila,raja soliman science and technology high school,public,deped managed,jhs with shs
284,manila,"precious heritage christian school of manila, inc.",private,non-sectarian,purely es
285,manila,manila business college,private,non-sectarian,purely shs
286,manila,"chinese general hospital colleges, inc.",private,non-sectarian,purely shs
287,manila,"st. john of god special school, inc.",private,non-sectarian,purely es
288,manila,cecilio apostol elementary school,public,deped managed,purely es
289,manila,juan sumulong elementary school,public,deped managed,purely es
290,manila,antonio regidor elementary school,public,deped managed,purely es
291,manila,francisco balagtas es,public,deped managed,purely es
292,manila,regina carmeli school,private,non-sectarian,purely es
293,manila,kinderhall pre-school,private,non-sectarian,purely es
294,manila,san antonio de manila pre-school inc.,private,non-sectarian,purely es
295,manila,"pmi colleges, inc",private,non-sectarian,purely shs
296,manila,shekinah institute of management and technology,private,non-sectarian,purely shs
297,manila,p. gomez es,public,deped managed,purely es
298,manila,"saint george academic & tutorial school, inc",private,sectarian,purely es
299,manila,heidelberg preschool and tutorial center inc.,private,non-sectarian,purely es
300,manila,geronimo santiago elementary school,public,deped managed,purely es
301,manila,ramon q. avancena high school,public,deped managed,jhs with shs
302,manila,victoriano mapa high school,public,deped managed,purely jhs
303,manila,m. agoncillo es,public,deped managed,purely es
304,manila,p. guevara elementary school,public,deped managed,purely es
305,manila,"sacred heart schools of malabon, inc. binondo branch",private,non-sectarian,purely es
306,manila,dr. a. albert elementary school,public,deped managed,purely es
307,manila,laong laan es,public,deped managed,purely es
308,manila,esteban abada high school,public,deped managed,purely jhs
309,manila,"maranatha christian academy of manila, inc.",private,non-sectarian,all offering (k to 12)
310,manila,st. vincent learning center-sampaloc,private,non-sectarian,purely es
311,manila,"st. bede academy manila, inc.",private,sectarian,purely es
312,manila,"little sofie learning and development center, inc.",private,non-sectarian,purely es
313,manila,"st. vince learning center,inc.",private,non-sectarian,purely es
314,manila,kapatiran-kaunlaran foundation inc. child development center,private,non-sectarian,purely es
315,manila,"st. anthony of padua the wonder-worker school of excellence (sapwwse), i",private,non-sectarian,purely es
316,manila,little gethsemane learning center,private,non-sectarian,purely es
317,manila,maya forest pre-school manila inc.,private,non-sectarian,purely es
318,manila,polytechnic university of the philippines laboratory high school,sucs/lucs,suc managed,jhs with shs
319,manila,dr. benigno v. aldana elementary school,public,deped managed,purely es
320,manila,g. lopez jaena elementary school,public,deped managed,purely es
321,manila,legarda elementary school,public,deped managed,purely es
322,manila,claro m. recto high school,public,deped managed,jhs with shs
323,manila,gen. l. geronimo elementary school,public,deped managed,purely es
324,manila,trinidad tecson elementary school,public,deped managed,purely es
325,manila,"st. fontis gabrielli school, inc.",private,non-sectarian,purely es
326,manila,moises salvador elementary school,public,deped managed,purely es
327,manila,ramon magsaysay high school,public,deped managed,purely jhs
328,manila,"kidsland learning and development center of manila, inc.",private,non-sectarian,purely es
329,manila,"golden success college, inc",private,non-sectarian,purely shs
330,manila,the light of patriarchs special education center,private,sectarian,purely es
331,manila,"bright beginners learning school, inc.",private,non-sectarian,purely es
332,manila,"brightlamp academy of manila, inc.",private,non-sectarian,purely es
333,manila,inventors school of the philippines inc.,private,non-sectarian,purely shs
334,manila,"messiah's angel learning center, inc.",private,non-sectarian,purely es
335,manila,"filomenita f. legarda child development center, inc",private,non-sectarian,purely es
336,manila,"doodles playgroup and children formation school foundation, inc.",private,non-sectarian,purely es
337,manila,maranatha christian acedemy of sta. mesa inc.,private,non-sectarian,purely es
338,manila,juan luna elementary school,public,deped managed,purely es
339,manila,v. e. fugoso memorial school,public,deped managed,purely es
340,manila,valeriano e. fugoso memorial high school,public,deped managed,jhs with shs
341,manila,little presidents learning palace,private,non-sectarian,purely es
342,manila,p. burgos es,public,deped managed,purely es
343,manila,pedro pelaez elementary school,public,deped managed,purely es
344,manila,gen. miguel malvar elementary school,public,deped managed,purely es
345,manila,shs within a.maceda intg. sch.-elem.,public,deped managed,purely shs
346,manila,united bethel christian academy of manila inc.,private,sectarian,purely es
347,manila,antonio a. maceda integrated school,public,deped managed,es and jhs (k to 10)
348,manila,bacood elementary school,public,deped managed,purely es
349,manila,elpidio quirino high school,public,deped managed,purely jhs
350,manila,e. quirino senior high school within bacood,public,deped managed,purely shs
351,manila,"richfield montessori school of manila, inc.",private,non-sectarian,purely es
352,manila,"yeshua mikros phos learning center, inc",private,non-sectarian,purely es
353,manila,"sti education services groups, inc.",private,non-sectarian,purely shs
354,manila,"namei polytechnic institute of mandaluyong, inc.",private,non-sectarian,all offering (k to 12)
355,manila,pio del pilar elementary school,public,deped managed,purely es
356,manila,justo lukban elementary school,public,deped managed,purely es
357,manila,manila science high school,public,deped managed,jhs with shs
358,manila,manuel a. roxas high school,public,deped managed,jhs with shs
359,manila,"noahs ark angel learning & tutorial center, inc.",private,non-sectarian,purely es
360,manila,yellow star pre-school,private,non-sectarian,purely es
361,manila,"escoda learning center, inc.",private,non-sectarian,purely es
362,manila,dr. celedonio a. salvador elementary school,public,deped managed,purely es
363,manila,silahis ng katarungan special school,public,deped managed,purely es
364,manila,"global gleam montessori, inc.",private,non-sectarian,es and jhs (k to 10)
365,manila,the ellinwood christian school inc.,private,non-sectarian,purely es
366,manila,"the little shepherds learning center of pandacan, inc.",private,non-sectarian,purely es
367,manila,wmc care christian school,private,non-sectarian,es and jhs (k to 10)
368,manila,e. delos santos elementary school,public,deped managed,purely es
369,manila,aurora a. quezon elementary school,public,deped managed,purely es
370,manila,h.j. atienza elementary school,public,deped managed,purely es
371,manila,sen. benigno s. aquino jr. es,public,deped managed,purely es
372,manila,m.araullo high school,public,deped managed,jhs with shs
373,manila,pres. corazon c. aquino high school/manila hs annex,public,deped managed,jhs with shs
374,manila,de la salle university integrated school,private,sectarian,purely shs
375,manila,edra learning center inc.,private,non-sectarian,purely es
376,manila,"maranatha christian academy of singalong malate, inc.",private,non-sectarian,es and jhs (k to 10)
377,manila,st. lucy integrated school of manila,private,non-sectarian,purely es
378,manila,emilio aguinaldo educational corporation,private,non-sectarian,purely jhs
379,manila,"little mighty stars christian school, inc.",private,non-sectarian,purely es
380,manila,primers' knowledge learning academy,private,non-sectarian,purely es
381,manila,"mariana academy of maritime studies, inc.",private,non-sectarian,purely shs
382,manila,"de la salle - college of saint benilde, inc. (",private,non-sectarian,purely jhs
383,manila,phil normal university-institute of teaching and learning,sucs/lucs,suc managed,es and jhs (k to 10)
384,manila,rafael palma elementary school,public,deped managed,purely es
385,manila,i. villamor high school,public,deped managed,jhs with shs
386,manila,integrated early wisdom learning center inc.,private,non-sectarian,purely es
387,manila,blaze montessori inc.,private,non-sectarian,purely es
388,manila,bagong barangay elementary school,public,deped managed,purely es
389,manila,j. zamora elementary school,public,deped managed,purely es
390,manila,"blessed christian achievers of manila, inc.",private,non-sectarian,purely es
391,manila,sergia esguerra memorial foundation inc.,private,non-sectarian,all offering (k to 12)
392,manila,adonai conservative baptist academy. inc.,private,non-sectarian,purely es
393,manila,medico-pedagogical institute,private,non-sectarian,purely es
394,manila,"pandacan foundational learning center, inc.",private,non-sectarian,purely es
395,manila,bagong diwa elementary school,public,deped managed,purely es
396,manila,beata elementary school,public,deped managed,purely es
397,manila,"maranatha christian academy of pandacan, inc.",private,non-sectarian,purely es
398,manila,gods little lights academy of punta sta ana manila,private,non-sectarian,purely es
399,manila,fernando ma. guerrero e.s.,public,deped managed,purely es
400,manila,sta. ana es,public,deped managed,purely es
401,manila,carlos p. garcia high school,public,deped managed,jhs with shs
402,manila,mariano marcos memorial high school,public,deped managed,jhs with shs
403,manila,eulogio rodriguez vocational high school,public,deped managed,jhs with shs
404,manila,onyx day care and learning school,private,sectarian,purely es
405,manila,mission elect of god academy inc.,private,non-sectarian,purely es
406,manila,"little gems center for early learners, inc.",private,non-sectarian,purely es
407,manila,"escuela divina gracia, inc.",private,non-sectarian,purely es
408,manila,"care home of alternative mathematics, inc.",private,non-sectarian,purely es
409,manila,f. amorsolo elementary school,public,deped managed,purely es
410,manila,m. roxas de ayala elementary school,public,deped managed,purely es
411,manila,tomas earnshaw elementary school,public,deped managed,purely es
412,manila,shs within gen e. aguinaldo intg. (elem),public,deped managed,purely shs
413,manila,"st. anthony of makati montessori, inc.",private,non-sectarian,purely es
414,manila,"bvm learning school manila, inc.",private,non-sectarian,purely es
415,manila,"kid's avenue learning center of manila, inc.",private,non-sectarian,purely es
416,manila,gen. emilio aguinaldo integrated school,public,deped managed,all offering (k to 12)
417,quezon,balingasa elementary school,public,deped managed,purely es
418,quezon,demetrio tuazon es,public,deped managed,purely es
419,quezon,ramon magsaysay es,public,deped managed,purely es
420,quezon,san jose elementary school,public,deped managed,purely es
421,quezon,san jose es-pag-ibig sa nayon annex,public,deped managed,purely es
422,quezon,noh-school for crippled children,public,deped managed,purely es
423,quezon,balingasa hs,public,deped managed,jhs with shs
424,quezon,san jose hs,public,deped managed,purely jhs
425,quezon,vito l. belarmino senior high school,public,deped managed,purely shs
426,quezon,national orthopedic hospital school for crippled children,public,deped managed,jhs with shs
427,quezon,sta. lucia senior high school,public,deped managed,jhs with shs
428,quezon,shs within bagong pag-asa es,public,deped managed,purely shs
429,quezon,shs in apolonio samson,public,deped managed,purely shs
430,quezon,abe international college of business and accountancy-cubao,private,non-sectarian,purely shs
431,quezon,ama computer university,private,non-sectarian,purely shs
432,quezon,"asian college of science and technology foundation, inc.",private,sectarian,purely shs
433,quezon,asian institute of computer studies - commonwealth,private,non-sectarian,purely shs
434,quezon,bestlink college of the philippines,private,non-sectarian,purely shs
435,quezon,"ciit shs, inc.",private,non-sectarian,purely shs
436,quezon,colegio de sta. teresa de avila foundation inc.,private,sectarian,purely shs
437,quezon,"datamex institute of computer technology-fairview, quezon city",private,non-sectarian,purely shs
438,quezon,diliman college,private,non-sectarian,purely shs
439,quezon,"divine word mission seminary, inc",private,sectarian,purely shs
440,quezon,electron college of technical education corporation,private,non-sectarian,purely shs
441,quezon,far eastern university-nicanor reyes medical foundation,private,non-sectarian,purely shs
442,quezon,"gates professional schools, inc.",private,sectarian,purely shs
443,quezon,"gardner college diliman, inc. (formerly: informatics college quezon city, inc.",private,non-sectarian,purely shs
444,quezon,informatics college eastwood inc.,private,non-sectarian,purely shs
445,quezon,informatics college-fairview,private,non-sectarian,purely shs
446,quezon,"integrated innovation and hospitality colleges, inc.",private,non-sectarian,purely shs
447,quezon,microcadd institute inc.,private,sectarian,purely shs
448,quezon,national polytechnic college of science and technology-lagro,private,sectarian,purely shs
449,quezon,national polytechnic college of science and technology-novaliches,private,sectarian,purely shs
450,quezon,republican college,private,sectarian,purely shs
451,quezon,"st. augustine college-lagro, quezon city",private,non-sectarian,purely shs
452,quezon,"st. augustine college - quezon city, inc.",private,non-sectarian,purely shs
453,quezon,st. bernadette of lourdes college,private,non-sectarian,purely shs
454,quezon,"st. john technological college of the philippines, inc.",private,non-sectarian,purely shs
455,quezon,sti college - cubao,private,non-sectarian,purely shs
456,quezon,sti college - fairview,private,non-sectarian,purely shs
457,quezon,sti college - muñoz - edsa,private,non-sectarian,purely shs
458,quezon,sti college - novaliches,private,non-sectarian,purely shs
459,quezon,sti college - quezon ave.,private,non-sectarian,purely shs
460,quezon,"systems plus computer college foundation, inc.",private,non-sectarian,purely shs
461,quezon,technological institute of the philippines,private,non-sectarian,purely shs
462,quezon,tony galvez school of cosmetology,private,non-sectarian,purely jhs
463,quezon,asia school of arts and sciences inc.,private,non-sectarian,purely shs
464,quezon,access computer and technical college-cubao 2 campus,private,non-sectarian,purely shs
465,quezon,"asian caregiving and technology education centers-cubao (actec-cubao), i",private,non-sectarian,purely shs
466,quezon,far east academy of training and development,private,sectarian,purely shs
467,quezon,"people of grace christian schools foundation, inc",private,sectarian,purely shs
468,quezon,"global minds academy of the philippines, inc.",private,sectarian,all offering (k to 12)
469,quezon,"philippine school for maritime and medical access, inc.",private,non-sectarian,purely shs
470,quezon,"ust angelicum college, inc.",private,sectarian,all offering (k to 12)
471,quezon,mont michel school inc.,private,non-sectarian,es and jhs (k to 10)
472,quezon,lourdes school quezon city,private,sectarian,all offering (k to 12)
473,quezon,mater carmeli school - d. tuazon,private,sectarian,purely es
474,quezon,philippine buddhacare academy,private,non-sectarian,jhs with shs
