Region,Division,District,BEIS School ID,School Name,Street Address,Municipality,Legislative District,Barangay,Sector,Urban/Ru,Sacl hColaosls Sifuicbactliaosnsification,Modified Curricural Offering Classification
NCR,City of San Juan,San Juan Distr,ct I406962,Holy Light Integrated Catholic School,285- P. Guevarra,CITY OF SAN JUAN,Lone District,LITTLE BAGUIO,Private,Urban,Non-Sectarian,Purely ES
NCR,City of San Juan,San Juan Distr,ct I406963,"Montessori de San Juan, Inc.",154 O. Arellano Street,CITY OF SAN JUAN,Lone District,ADDITION HILLS,Private,Urban,Non-Sectarian,All Offering (K to 12)
NCR,City of San Juan,San Juan Distr,ct I406965,Philippine Chen Kuang High School,210- P. Parada (Cor. P. Guevarra),CITY OF SAN JUAN,Lone District,SANTA LUCIA,Private,Urban,Non-Sectarian,All Offering (K to 12)
NCR,City of San Juan,San Juan Distr,ct I406970,St. John's Academy,148 Jose Gil St.,CITY OF SAN JUAN,Lone District,TIBAGAN,Private,Urban,Non-Sectarian,All Offering (K to 12)
NCR,City of San Juan,San Juan Distr,ct I406971,"Tabernacle of Faith Christian Academy, Inc.",151 J. Ruiz Street,CITY OF SAN JUAN,Lone District,SALAPAN,Private,Urban,Non-Sectarian,All Offering (K to 12)
NCR,City of San Juan,San Juan Distr,ct I407678,Resalest Educational Center,"12-A Allenby St.,",CITY OF SAN JUAN,Lone District,MAYTUNAS,Private,Urban,Non-Sectarian,JHS with SHS
NCR,City of San Juan,San Juan Distr,ct I408606,Mya House of Achievers Learning Center Inc.,37 Atty. Mendoza Street,CITY OF SAN JUAN,Lone District,PEDRO CRUZ,Private,Urban,Non-Sectarian,Purely ES
NCR,City of San Juan,San Juan Distr,ct I409854,The Reading House Literacy Center Inc.,"Unit 107 Richbelt Tower, Annapolis Street, North Greenhills",CITY OF SAN JUAN,Lone District,GREENHILLS,Private,Urban,Non-Sectarian,Purely ES
NCR,City of San Juan,San Juan Distr,ct I409882,A Pi Square Kinder School Inc.,"NGA Clubhouse, Johnson's Park, North Greenhills",CITY OF SAN JUAN,Lone District,GREENHILLS,Private,Urban,Non-Sectarian,Purely ES
NCR,City of San Juan,San Juan Distr,ct I485503,Fountain International School,"14 Annapolis St., Greenhills",CITY OF SAN JUAN,Lone District,GREENHILLS,Private,Urban,Non-Sectarian,Purely ES
NCR,City of San Juan,San Juan Distr,ct I485517,"Morning Bells Learning Center, Inc.","130-A. Lake St.,",CITY OF SAN JUAN,Lone District,SALAPAN,Private,Urban,Sectarian,Purely ES
NCR,City of San Juan,San Juan Distr,ct I485527,"Milestone Early Child Development Center, Inc",196-M. Paterno,CITY OF SAN JUAN,Lone District,PASADEÃ‘A,Private,Urban,Non-Sectarian,Purely ES
NCR,City of San Juan,San Juan Distr,ct I485541,Fountain International School -Santolan Campus,"1 Government Center, Santolan Rd. Pinaglabanan, San Juan",CITY OF SAN JUAN,Lone District,CORAZON DE JESUS,Private,Urban,Non-Sectarian,JHS with SHS
NCR,City of San Juan,San Juan Distr,ct I485555,"Kids World Integrated School, Inc.","223 Panganiban St. Brgy. Onse, San Juan City",CITY OF SAN JUAN,Lone District,GREENHILLS,Private,Urban,Non-Sectarian,Purely ES
NCR,City of San Juan,San Juan Distr,ct I485583,"Door of Hope Christian School, Inc.",11 Katubusan Street,CITY OF SAN JUAN,Lone District,PROGRESO,Private,Urban,Non-Sectarian,Purely ES
NCR,City of San Juan,San Juan Distr,ct I485584,"Kinder Explorers Playschool, Inc.",207-A M.J Paterno,CITY OF SAN JUAN,Lone District,PASADEÃ‘A,Private,Urban,Non-Sectarian,Purely ES
NCR,City of San Juan,San Juan Distr,ct I485622,"Vibrance Learning Academy, Inc.",10 N. Domingo Street,CITY OF SAN JUAN,Lone District,SAN PERFECTO,Private,Urban,Non-Sectarian,ES and JHS (K to 10)
NCR,City of San Juan,San Juan Distr,ct II136749,Kabayanan ES,201 I.  Francisco St.,CITY OF SAN JUAN,Lone District,KABAYANAN,Public,Urban,DepED Managed,Purely ES
NCR,City of San Juan,San Juan Distr,ct II136750,Nicanor C. Ibuna ES,61 J. P. Rizal St.,CITY OF SAN JUAN,Lone District,ONSE,Public,Urban,DepED Managed,Purely ES
NCR,City of San Juan,San Juan Distr,ct II136751,Pinaglabanan ES,"Pinaglabanan Street, Tibagan-Isabelita, San Juan City",CITY OF SAN JUAN,Lone District,ISABELITA,Public,Urban,DepED Managed,Purely ES
NCR,City of San Juan,San Juan Distr,ct II136752,Sta. Lucia ES,7 D. Vicencio,CITY OF SAN JUAN,Lone District,SANTA LUCIA,Public,Urban,DepED Managed,Purely ES
NCR,City of San Juan,San Juan Distr,ct II305607,San Juan City Science High School,Pinaglabanan Street,CITY OF SAN JUAN,Lone District,,Public,Urban,DepED Managed,Purely JHS
NCR,City of San Juan,San Juan Distr,ct II305608,San Juan City Academic Senior High School,Pinaglabanan Street,CITY OF SAN JUAN,Lone District,,Public,Urban,DepED Managed,Purely SHS
NCR,City of San Juan,San Juan Distr,ct II305609,San Juan City Technical-Vocational and Livelihood -Senior High School,Pinaglabanan Street,CITY OF SAN JUAN,Lone District,,Public,Urban,DepED Managed,Purely SHS
NCR,City of San Juan,San Juan Distr,ct II406615,"Community of Learners Foundation, Inc.",1C Montessori Lane Bgy. Addition Hills,CITY OF SAN JUAN,Lone District,ADDITION HILLS,Private,Urban,Non-Sectarian,All Offering (K to 12)
NCR,City of San Juan,San Juan Distr,ct II406956,"Aquinas School, Inc.",183 F. Blumentritt Street,CITY OF SAN JUAN,Lone District,KABAYANAN,Private,Urban,Sectarian,All Offering (K to 12)
NCR,City of San Juan,San Juan Distr,ct II410042,"The Abba's Orchard School, Inc.","3rd Floor O Square Building, Ortigas Avenue",CITY OF SAN JUAN,Lone District,GREENHILLS,Private,Urban,Non-Sectarian,Purely ES
NCR,City of San Juan,San Juan Distr,ct II485592,Apples and Berries Orchard Learning Preparatory Center,"# 678 Abad santos St., Little Baguio, San Juan City",CITY OF SAN JUAN,Lone District,LITTLE BAGUIO,Private,Urban,Non-Sectarian,Purely ES
NCR,City of San Juan,San Juan Distr,ct II485604,Cambridge Child Development Centre,Greenhills,CITY OF SAN JUAN,Lone District,GREENHILLS,Private,Urban,Non-Sectarian,Purely ES
NCR,Navotas,Navotas Distri,t I136856,Bagumbayan Elementary School,M. Naval Street Sipac Navotas City,CITY OF NAVOTAS,Lone District,SIPAC-ALMACEN,Public,Urban,DepED Managed,Purely ES
NCR,Navotas,Navotas Distri,t I136857,Bangkulasi Elementary School,"Luna St.,",CITY OF NAVOTAS,Lone District,BANGCULASI,Public,Urban,DepED Managed,Purely ES
NCR,Navotas,Navotas Distri,t I136858,Dagat-Dagatan Elementary School,Maya maya,CITY OF NAVOTAS,Lone District,"NORTH BAY BLVD., SOUTH",Public,Urban,DepED Managed,Purely ES
NCR,Navotas,Navotas Distri,t I136859,Kapitbahayan Elementary School,"Kaunlaran Village, NBBS",CITY OF NAVOTAS,Lone District,"NORTH BAY BLVD., SOUTH",Public,Urban,DepED Managed,Purely ES
NCR,Navotas,Navotas Distri,t I136860,Navotas Elementary School,Los Martires,CITY OF NAVOTAS,Lone District,SAN JOSE (POB.),Public,Urban,DepED Managed,Purely ES
NCR,Navotas,Navotas Distri,t I136861,Navotas I Elementary School,M. Naval,CITY OF NAVOTAS,Lone District,SAN JOSE (POB.),Public,Urban,DepED Managed,Purely ES
NCR,Navotas,Navotas Distri,t I136862,North Bay Boulevard Elementary School,Ilang-Ilang,CITY OF NAVOTAS,Lone District,"NORTH BAY BLVD., SOUTH",Public,Urban,DepED Managed,Purely ES
NCR,Navotas,Navotas Distri,t I136863,North Bay Boulevard North Elementary School,Pescador II,CITY OF NAVOTAS,Lone District,"NORTH BAY BLVD., NORTH",Public,Urban,DepED Managed,Purely ES
NCR,Navotas,Navotas Distri,t I136864,San Rafael Vill. Elementary School,Taliba,CITY OF NAVOTAS,Lone District,SAN RAFAEL VILLAGE,Public,Urban,DepED Managed,Purely ES
NCR,Navotas,Navotas Distri,t I300133,Bangkulasi National High School,"Sioson St.,",CITY OF NAVOTAS,Lone District,BANGCULASI,Public,Urban,DepED Managed,Purely JHS
NCR,Navotas,Navotas Distri,t I305453,Navotas National High School,M. Naval Street,CITY OF NAVOTAS,Lone District,SIPAC-ALMACEN,Public,Urban,DepED Managed,JHS with SHS
NCR,Navotas,Navotas Distri,t I305454,San Rafael Technological and Vocational High School,1 Taliba Street,CITY OF NAVOTAS,Lone District,SAN RAFAEL VILLAGE,Public,Urban,DepED Managed,JHS with SHS
NCR,Navotas,Navotas Distri,t I305456,Kaunlaran High School,"Phase 1  Bangus Street, North Bay Boulevard South Kaunlaran Village",CITY OF NAVOTAS,Lone District,"NORTH BAY BLVD., SOUTH",Public,Urban,DepED Managed,JHS with SHS
NCR,Navotas,Navotas Distri,t I328001,Navotas National Science High School,"M. Naval St.,",CITY OF NAVOTAS,Lone District,SIPAC-ALMACEN,Public,Urban,DepED Managed,Purely JHS
NCR,Navotas,Navotas Distri,t I340628,Filemon T. Lizan Senior High School,"Dr. C. Bauza St. Bagumbayan South, Navotas City",CITY OF NAVOTAS,Lone District,BAGUMBAYAN SOUTH,Public,Urban,DepED Managed,Purely SHS
NCR,Navotas,Navotas Distri,t I340629,"SHS in Bangkulasi, Navotas City","-14 Sioson St. Bangkulasi, Navotas City",CITY OF NAVOTAS,Lone District,BANGCULASI,Public,Urban,DepED Managed,Purely SHS
NCR,Navotas,Navotas Distri,t I400675,"Brigette Yvan Learning Center, Inc.",no.16 R. Padilla St.San Jose Navotas city,CITY OF NAVOTAS,Lone District,SAN JOSE (POB.),Private,Urban,Non-Sectarian,Purely ES
NCR,Navotas,Navotas Distri,t I400696,C4 Network of Hope Worship & Mission Church Int'l. Inc.,Block 31 Lot 95 Lapu-lapu Avenue Phase 2 Area 2,CITY OF NAVOTAS,Lone District,"NORTH BAY BLVD., SOUTH",Private,Urban,Non-Sectarian,Purely ES
NCR,Navotas,Navotas Distri,t I400699,"Julie Christian Academic System Learning Center, Inc.","Block 2 Lot 11 Phase 1-C, NBBS",CITY OF NAVOTAS,Lone District,"NORTH BAY BLVD., SOUTH",Private,Urban,Non-Sectarian,Purely ES
NCR,Navotas,Navotas Distri,t I407233,San Jose Academy,"M. Naval St.,",CITY OF NAVOTAS,Lone District,SAN JOSE (POB.),Private,Urban,Sectarian,All Offering (K to 12)
NCR,Navotas,Navotas Distri,t I407236,"Navotas Adventist Elementary School, Inc.",516 Gov. Andres Pascual Street,CITY OF NAVOTAS,Lone District,DAANGHARI,Private,Urban,Non-Sectarian,Purely ES
NCR,Navotas,Navotas Distri,t I407237,Governor Andres Pascual College,"1045 M. Naval St., San Jose Navotas City",CITY OF NAVOTAS,Lone District,SAN JOSE (POB.),Private,Urban,Non-Sectarian,All Offering (K to 12)
NCR,Navotas,Navotas Distri,t I407239,"La Naval Academy, Inc.","906 M. Naval Street, Sipac-Almacen",CITY OF NAVOTAS,Lone District,SIPAC-ALMACEN,Private,Urban,Non-Sectarian,All Offering (K to 12)
NCR,Navotas,Navotas Distri,t I487208,"La Athena De Navotas Academy, Inc.",818 M. Naval Street,CITY OF NAVOTAS,Lone District,SIPAC-ALMACEN,Private,Urban,Non-Sectarian,Purely ES
NCR,Navotas,Navotas Distri,t I487501,"Marvin A. Rader School, Inc.","M.Naval cor. S. Antonio St., Tangos, Navotas City",CITY OF NAVOTAS,Lone District,TANGOS,Private,Urban,Non-Sectarian,Purely ES
NCR,Navotas,Navotas Distri,t I487504,Visiena Learning Center,"Pat. A. Buntan St., Judge A. Roldan St., San Roque, Navotas",CITY OF NAVOTAS,Lone District,SAN ROQUE,Private,Urban,Non-Sectarian,Purely ES
NCR,Navotas,Navotas Distri,t II136865,Daanghari Elementary School,Gov. A. Pascual,CITY OF NAVOTAS,Lone District,DAANGHARI,Public,Urban,DepED Managed,Purely ES
NCR,Navotas,Navotas Distri,t II136866,San Roque Elementary School,A. Leongson,CITY OF NAVOTAS,Lone District,SAN ROQUE,Public,Urban,DepED Managed,Purely ES
NCR,Navotas,Navotas Distri,t II136867,Tangos Elementary School,J. Pascual,CITY OF NAVOTAS,Lone District,TANGOS,Public,Urban,DepED Managed,Purely ES
NCR,Navotas,Navotas Distri,t II136868,Tangos I Elementary School,12 B. Cruz,CITY OF NAVOTAS,Lone District,TANGOS,Public,Urban,DepED Managed,Purely ES
NCR,Navotas,Navotas Distri,t II136869,Tanza Elementary School,E. Rodriguez,CITY OF NAVOTAS,Lone District,TANZA,Public,Urban,DepED Managed,Purely ES
NCR,Navotas,Navotas Distri,t II136870,Wawa Elementary School,J.B. Santos,CITY OF NAVOTAS,Lone District,TANGOS,Public,Urban,DepED Managed,Purely ES
NCR,Navotas,Navotas Distri,t II305455,Tanza National High School,Sampaguita,CITY OF NAVOTAS,Lone District,TANZA,Public,Urban,DepED Managed,Purely JHS
NCR,Navotas,Navotas Distri,t II305457,Tangos National High School,B. Cruz St.,CITY OF NAVOTAS,Lone District,TANGOS,Public,Urban,DepED Managed,JHS with SHS
NCR,Navotas,Navotas Distri,t II305458,San Roque National High School,Gov. A. Pascual,CITY OF NAVOTAS,Lone District,SAN ROQUE,Public,Urban,DepED Managed,JHS with SHS
NCR,Navotas,Navotas Distri,t II400691,"Mary's Bee Learning School First Step in Developing Young Minds, Inc.",1380 M. Naval Street,CITY OF NAVOTAS,Lone District,SAN ROQUE,Private,Urban,Non-Sectarian,Purely ES
NCR,Navotas,Navotas Distri,t II407651,My Second Home Learning Center Inc.,22 A. Cruz Street,CITY OF NAVOTAS,Lone District,TANGOS,Private,Urban,Non-Sectarian,Purely ES
NCR,Manila,Tondo I,136418,A. C. Herrera Elementary School,S. Teodoro St.,TONDO,2nd District,BARANGAY 197,Public,Urban,DepED Managed,Purely ES
NCR,Manila,Tondo I,136419,Barrio Obrero Elementary School,"3247 Narra Ext. St., cor. Molave St., Bo. Obrero",TONDO,2nd District,BARANGAY 194,Public,Urban,DepED Managed,Purely ES
NCR,Manila,Tondo I,305311,Manila High School,Muralla corner Victoria Streets,INTRAMUROS,5th District,BARANGAY 657,Public,Urban,DepED Managed,JHS with SHS
NCR,Manila,Tondo I,401141,"ABE International College of Business & Economics of Manila, Inc.",2578 Legarda Street,SAMPALOC,4th District,BARANGAY 395,Private,Urban,Non-Sectarian,Purely SHS
NCR,Manila,Tondo I,401143,"AMA Computer College - Sta. Mesa, Inc.","3299 R. Magsaysay Boulevard corner Maganda Street, Sta. Mesa",ERMITA,4th District,BARANGAY 660,Private,Urban,Non-Sectarian,Purely SHS
NCR,Manila,Tondo I,401144,"AMA Computer Learning Center of Northbay, Inc.","3/F MTSC Building, Juan Luna corner Capulong Streets",TONDO,1st District,BARANGAY 95,Private,Urban,Non-Sectarian,Purely SHS
NCR,Manila,Tondo I,401150,"Centro Escolar Integrated School, Inc.",9 Mendiola Street,SAN MIGUEL,1st District,BARANGAY 641,Private,Urban,Non-Sectarian,Purely SHS
NCR,Manila,Tondo I,401160,Emilio Aguinaldo College,"1113-1117 San Marcelino St., Paco, Manila 1000",SANTA ANA,5th District,BARANGAY 764,Private,Urban,Non-Sectarian,Purely SHS
NCR,Manila,Tondo I,401168,"FEU High School, Inc.","Sampaloc, Manila",SAMPALOC,4th District,BARANGAY 395,Private,Urban,Sectarian,Purely SHS
NCR,Manila,Tondo I,401182,"Feati University, Inc.","Helios Street, Sta. Cruz",QUIAPO,3rd District,BARANGAY 306,Private,Urban,Sectarian,JHS with SHS
NCR,Manila,Tondo I,401187,Informatics College-Manila,"270 BDO Bldg. C.M. Recto Ave., Quiapo,",SAMPALOC,4th District,BARANGAY 395,Private,Urban,Non-Sectarian,Purely SHS
NCR,Manila,Tondo I,401188,Lyceum of the Philippines University-Manila,"33 Muralla cor. Real St., Intramuros, Manila",INTRAMUROS,5th District,BARANGAY 658,Private,Urban,Sectarian,Purely SHS
NCR,Manila,Tondo I,401193,"Malayan Education System, Inc.",658 Muralla Street,INTRAMUROS,5th District,BARANGAY 658,Private,Urban,Non-Sectarian,Purely SHS
NCR,Manila,Tondo I,401195,Mary Chiles College,667 Dalupan Street,SAMPALOC,4th District,BARANGAY 404,Private,Urban,Non-Sectarian,Purely SHS
NCR,Manila,Tondo I,401215,"Metropolitan Medical Center College of Arts, Science and Technology, Inc.","1357 G. Masangkay St.,",TONDO,3rd District,BARANGAY 262,Private,Urban,Non-Sectarian,Purely SHS
NCR,Manila,Tondo I,401242,"Philippine College of Health Sciences, Inc.",1813 C.M. Recto Avenue,SAMPALOC,5th District,BARANGAY 395,Private,Urban,Non-Sectarian,Purely SHS
NCR,Manila,Tondo I,401259,Philippine School of Business Administration,"826 R. Papa St., Sampaloc, Manila",SAMPALOC,4th District,BARANGAY 396,Private,Urban,Sectarian,Purely SHS
NCR,Manila,Tondo I,401290,San Beda College,"E. Mendiola St., San Miguel, Manila",SAN MIGUEL,3rd District,BARANGAY 638,Private,Urban,Sectarian,Purely SHS
NCR,Manila,Tondo I,401293,St. Paul University Manila,"680 Pedro Gil St., Malate, Manila",MALATE,5th District,BARANGAY 697,Private,Urban,Sectarian,Purely SHS
NCR,Manila,Tondo I,401298,STI College - Recto,"1914 Dona Faustina Bldg., C.M. Recto Ave., Manila",QUIAPO,3rd District,BARANGAY 392,Private,Urban,Non-Sectarian,Purely SHS
NCR,Manila,Tondo I,401303,STI College - Taft,"2133 Taft Avenue, Malate, Manila",MALATE,5th District,BARANGAY 709,Private,Urban,Non-Sectarian,Purely SHS
NCR,Manila,Tondo I,401321,Makati Science Technological Institute of the Philippines,"4410 ERL Building, Old Sta. Mesa Street",SAMPALOC,4th District,BARANGAY 592,Private,Urban,Non-Sectarian,All Offering (K to 12)
NCR,Manila,Tondo I,401323,Technological Institute of the Philippines,363 P. Casal Street,QUIAPO,3rd District,BARANGAY 385,Private,Urban,Non-Sectarian,Purely SHS
NCR,Manila,Tondo I,405674,Access Computer and Technical College-Manila Campus,"2nd Floor, Access Bldg., C. M. Recto cor. Quezon Blvd., Manila",QUIAPO,3rd District,BARANGAY 306,Private,Urban,Non-Sectarian,Purely SHS
NCR,Manila,Tondo I,405679,"ACLC College of Manila, Inc.",2355 Legarda corner Manrique Streets,SAMPALOC,4th District,BARANGAY 416,Private,Urban,Non-Sectarian,Purely SHS
NCR,Manila,Tondo I,406287,Bethel Lutheran School,"2308 Almeda St. Old Antipolo,Tondo,Manila City",TONDO,2nd District,BARANGAY 224,Private,Urban,Non-Sectarian,Purely ES
NCR,Manila,Tondo I,406290,Immaculate Conception Academy of Manila,"2212 S. Del Rosario St., Gagalangin, Tondo, Manila",TONDO,2nd District,BARANGAY 148,Private,Urban,Sectarian,All Offering (K to 12)
NCR,Manila,Tondo I,406291,St. Joseph School (Tondo),2683 Juan Luna Street,TONDO,2nd District,BARANGAY 156,Private,Urban,Sectarian,All Offering (K to 12)
NCR,Manila,Tondo I,406293,San Rafael Parochial School,"177 Taliba Street, SRV Balut, Tondo, Manila",TONDO,1st District,BARANGAY 137,Private,Urban,Non-Sectarian,All Offering (K to 12)
NCR,Manila,Tondo I,406294,Westminster High School,"60-68 Honorio Lopez Blvd., Balut Tondo Manila",TONDO,1st District,BARANGAY 126,Private,Urban,Non-Sectarian,All Offering (K to 12)
NCR,Manila,Tondo I,406295,"Manila Cathedral College, Inc.",287 Tayuman Street,TONDO,1st District,BARANGAY 233,Private,Urban,Sectarian,All Offering (K to 12)
NCR,Manila,Tondo I,406296,St. Paul School - Tondo,1232 Sta. Maria St.,TONDO,1st District,BARANGAY 6,Private,Urban,Non-Sectarian,Purely ES
NCR,Manila,Tondo I,406298,Holy Child Catholic School,Plaza A. Hernandez,TONDO,1st District,BARANGAY 4,Private,Urban,Sectarian,All Offering (K to 12)
NCR,Manila,Tondo I,406300,West Manila Christian School,"640 Penalosa cor. Nicolas Zamora Sts., Tondo, Manila",TONDO,1st District,BARANGAY 59,Private,Urban,Non-Sectarian,All Offering (K to 12)
NCR,Manila,Tondo I,406301,Chiang Kai Shek College,1274 Padre Algue Street,TONDO,2nd District,BARANGAY 239,Private,Urban,Non-Sectarian,All Offering (K to 12)
NCR,Manila,Tondo I,406302,Hope Christian High School,"1242 Benavidez St., Sta. Cruz, Manila",TONDO,2nd District,BARANGAY 263,Private,Urban,Non-Sectarian,All Offering (K to 12)
NCR,Manila,Tondo I,406303,Philippine Cultural College,"1253 Jose Abad Santos Ave., Tondo Manila",TONDO,2nd District,BARANGAY 240,Private,Urban,Non-Sectarian,All Offering (K to 12)
NCR,Manila,Tondo I,406304,"St. Mary's Academy Manila, Inc.","1560 Yakal St. Sta. Cruz, Manila",TONDO,2nd District,BARANGAY 264,Private,Urban,Sectarian,All Offering (K to 12)
NCR,Manila,Tondo I,406305,Uno High School,1440 Alvarado St.,TONDO,2nd District,BARANGAY 250,Private,Urban,Non-Sectarian,All Offering (K to 12)
NCR,Manila,Tondo I,406306,Arellano University(Juan Sumulong High School),2600 Legarda St. Sampaloc Manila,SAN MIGUEL,3rd District,BARANGAY 637,Private,Urban,Non-Sectarian,All Offering (K to 12)
NCR,Manila,Tondo I,406307,"Holy Heart Christian Academy, Inc.","1307 Gen. Diokno Street, Sta. Cruz, Manila",SANTA CRUZ,3rd District,BARANGAY 361,Private,Urban,Non-Sectarian,All Offering (K to 12)
NCR,Manila,Tondo I,406308,La Consolacion College Manila,8 Mendiola Street,SAN MIGUEL,3rd District,BARANGAY 641,Private,Urban,Non-Sectarian,All Offering (K to 12)
NCR,Manila,Tondo I,406309,"Samantabhadra Educational Institute, Inc.",1141-45 Batangas Street,TONDO,1st District,BARANGAY 231,Private,Urban,Non-Sectarian,ES and JHS (K to 10)
NCR,Manila,Tondo I,406311,"San Sebastian College-Recoletos, Manila","C.M. Recto Ave., Manila",QUIAPO,3rd District,BARANGAY 390,Private,Urban,Sectarian,All Offering (K to 12)
NCR,Manila,Tondo I,406312,Sta. Catalina College,Legarda Street,SAMPALOC,3rd District,BARANGAY 410,Private,Urban,Non-Sectarian,All Offering (K to 12)
NCR,Manila,Tondo I,406313,University of the East,2219 C.M. Recto Ave,SAMPALOC,3rd District,BARANGAY 404,Private,Urban,Non-Sectarian,All Offering (K to 12)
NCR,Manila,Tondo I,406315,Bethel High School / Knox Grade School,960 Rizal Ave. Cor. Lope de Vega St. Sta Cruz Manila,SANTA CRUZ,3rd District,BARANGAY 312,Private,Urban,Non-Sectarian,ES and JHS (K to 10)
NCR,Manila,Tondo I,406316,Espiritu Santo Parochial School,"1912 Rizal Ave. Sta.Cruz, Manila",SANTA CRUZ,3rd District,BARANGAY 344,Private,Urban,Sectarian,All Offering (K to 12)
NCR,Manila,Tondo I,406317,"Manila Patriotic School, Inc.",709/711 Tomas Mapua Street,SANTA CRUZ,3rd District,BARANGAY 305,Private,Urban,Sectarian,ES and JHS (K to 10)
NCR,Manila,Tondo I,406320,Philippine Sun Yat Sen High School,"938 Zacateros St., Sta. Cruz, Manila",SANTA CRUZ,3rd District,BARANGAY 302,Private,Urban,Non-Sectarian,ES and JHS (K to 10)
NCR,Manila,Tondo I,406321,Central Institute of Technology (CIT Colleges),COR. A. MENDOZA-P. PAREDES STREET,SANTA CRUZ,3rd District,BARANGAY 300,Private,Urban,Non-Sectarian,Purely JHS
NCR,Manila,Tondo I,406322,"Christian Academy of Manila, Inc.",3041 Nagtahan Street,SAMPALOC,3rd District,BARANGAY 635,Private,Urban,Non-Sectarian,ES and JHS (K to 10)
NCR,Manila,Tondo I,406324,The National Teachers College,629 J. Nepomuceno,QUIAPO,3rd District,BARANGAY 388,Private,Urban,Non-Sectarian,All Offering (K to 12)
NCR,Manila,Tondo I,406325,Philippine College of Criminology High School,"641 Sales St. Sta. Cruz, Manila",QUIAPO,3rd District,BARANGAY 309,Private,Urban,Non-Sectarian,JHS with SHS
NCR,Manila,Tondo I,406327,The Nazarene Catholic School,"1053 R. Hidalgo Street, Quiapo, Manila",QUIAPO,3rd District,BARANGAY 388,Private,Urban,Sectarian,All Offering (K to 12)
NCR,Manila,Tondo I,406328,Saint Jude Catholic School,327 Ycaza Street,SAN MIGUEL,3rd District,BARANGAY 639,Private,Urban,Sectarian,All Offering (K to 12)
NCR,Manila,Tondo I,406329,"Saint Rita College-Manila, Inc.","Plaza del Carmen,Quiapo Manila",QUIAPO,3rd District,BARANGAY 390,Private,Urban,Sectarian,ES and JHS (K to 10)
NCR,Manila,Tondo I,406330,Lorenzo Ruiz Academy,"649 Ongpin Street, Binondo, Manila",SAN NICOLAS,3rd District,BARANGAY 286,Private,Urban,Sectarian,All Offering (K to 12)
NCR,Manila,Tondo I,406332,Philippine Academy of Sakya,Masangkay,TONDO,3rd District,BARANGAY 264,Private,Urban,Non-Sectarian,All Offering (K to 12)
NCR,Manila,Tondo I,406333,Philippine Jin Nan Institute,824 Alvarado Street Binondo,BINONDO,3rd District,BARANGAY 292,Private,Urban,Non-Sectarian,Purely ES
NCR,Manila,Tondo I,406335,Tiong Se Academy,"708 Sta. Elena St., Binondo, Manila",SAN NICOLAS,3rd District,BARANGAY 268,Private,Urban,Non-Sectarian,All Offering (K to 12)
