,listing,location,salary,company
42,EXECUTIVE SECRETARY,San Juan,,Annaiah Marketing Corporation
43,"Recruitment Assistant | Greenhills, San Juan",San Juan,,Limketkai Manufacturing Corporation
44,"Trading Analyst | Greenhills, San Juan",San Juan,,Limketkai Manufacturing Corporation
45,Team Leader,San Juan,,GREAT CHOICE MANPOWER SERVICES
46,"R&D Specialist (Food Mfg.) |Greenhills, San Juan",San Juan,,Limketkai Manufacturing Corporation
47,ACCOUNT SPECIALIST,San Juan,,Annaiah Marketing Corporation
48,Clinic Facialist for San Juan Area,San Juan,,SkinStation
49,"Accounts Payable Analyst | Greenhills, San Juan",San Juan,,Limketkai Manufacturing Corporation
50,Sales Associate,San Juan,,BAYLONI MANPOWER RECRUITMENT
51,MARKETING ASSISTANT,Remote in San Juan,,Annaiah Marketing Corporation
52,Field Technician,San Juan,,"Pacific Sun Solutions, Inc."
53,"Internal Auditor | Greenhills, San Juan",San Juan,,Limketkai Manufacturing Corporation
54,Accounts Receivable Clerk,San Juan,,Trinity Manpower Services Co.
55,Information Technology Assistant,San Juan,,Chili's Bar & Grill
56,CORPORATE SALES REPRESENTATIVE,San Juan,,Annaiah Marketing Corporation
57,KEY ACCOUNT SPECIALIST,San Juan,,Annaiah Marketing Corporation
58,"Merchandising Coordinator (Trade Marketing) | Greenhills, Sa...",San Juan,,Limketkai Manufacturing Corporation
59,EXECUTIVE DRIVER,San Juan,,Annaiah Marketing Corporation
60,Human Resource Assistant,San Juan,,SCOT Medica Corporation
61,Audit Associate,San Juan,,"Pacific Sun Solutions, Inc."
62,Technical Support Supervisor,San Juan,,"Pacific Sun Solutions, Inc."
63,Executive Secretary to the President and Chairman | Greenhil...,San Juan,,Limketkai Manufacturing Corporation
64,Company Driver,San Juan,,"Pacific Sun Solutions, Inc."
65,Marketing Associate,San Juan,,"Pacific Sun Solutions, Inc."
66,Bo's Coffee Barista/ Team Member / Cashier / Crew (SAN JUAN),San Juan,,Bo's Coffee
67,Accounting Associate,San Juan,,"Pacific Sun Solutions, Inc."
68,Sourcing Team Lead,Remote in San Juan,,Ascentpro
69,HR Officer- Vendor Management,San Juan,,Monroe Consulting Group Philippines
70,Line Cook,San Juan,,Excellent People's Multi-Purpose Cooperative
71,Sourcing Associate /Consultant,Remote in San Juan,,Ascentpro
72,Telecom Data Analyst,San Juan,,L3 Global Ventures Inc
73,Implementation Project Manager,San Juan,,L3 Global Ventures Inc
74,Telecom Sales Consultant,San Juan,,L3 Global Ventures Inc
75,INVENTORY ASSISTANT,San Juan,,EVI Distribution Inc
76,Merchandising Assistant,San Juan,,CEO Group of Companies
77,Social Media Marketing Associate,San Juan,,Mineski Global
78,Messenger / Collector,San Juan,,Metro Jobs & Payment Solutions Inc.
79,Technical Supervisor,San Juan,,Prime Star Global Distribution Corporation
80,Department Secretary,San Juan,,Saviour Medevices Inc.
81,Customer Relations Assistant,San Juan,,"Vespa Philippines, Inc."
82,Business Development Specialist,San Juan,,RBT Consulting Corporation
83,Staff Nurse - General Ward,San Juan,,Cardinal Santos Medical Center
84,Service Crew,San Juan,,TOPSERVE SERVICE SOLUTIONS INC.
85,ACCOUNTING MANAGER,San Juan,,EVI Distribution Inc
86,Multimedia Artist,San Juan,,GUR LAVI CORP.
87,Company Driver,San Juan,,AVOLUTION INC
88,RETAIL ACCOUNTING ASSISTANT,San Juan,,Jade Blue Petroleum Inc.
89,Performance Management System Coordinator,Remote in San Juan,,"Vespa Philippines, Inc."
90,HR/Admin Officer,San Juan,"PHP 18,000 a month",MACRO SEVEN FOOD
91,Sales Account Executive,San Juan,"PHP 15,000 - PHP 25,000 a month",The Brain Computer Corporation
92,Human Resource Officer,San Juan,"PHP 18,000 - PHP 22,000 a month",Consult Asia Business Solutions & Advisory...
93,Staff Nurse - Special Ward,San Juan,"PHP 25,000 - PHP 27,000 a month",Cardinal Santos Medical Center
94,GSEA Associate,San Juan,,John Clements Consultants Inc
95,Copywriter,San Juan,,Goldtech International Inc
96,Technical Administrative Staff,San Juan,,"Integrated Computer Systems, Inc."
97,"Research & Development Specialist | Greenhills, San Juan",San Juan,,Limketkai Manufacturing Corporation
98,Sales Executive,San Juan,"PHP 21,000 - PHP 24,000 a month",CubixOffice Inc.
99,Quickbooks Accountant,San Juan,"PHP 20,000 - PHP 40,000 a month",Vinland International Inc.
100,Sales Associate - Virra Mall Greenhills,San Juan,,Optica International Trading Corporation
101,Accounting Clerk,San Juan,"PHP 14,000 - PHP 15,000 a month",Prohygienics Human Resource & Service Corp
102,RECRUITMENT TEAM LEAD- RECRUITER,San Juan,,ASCENTPRO
103,Restaurant Manager (Greenhills),San Juan,"PHP 24,000 - PHP 30,000 a month",Mc Wilson Corporation
104,Office Staff,San Juan,,Pro-hygienics Human Resouce & Services Corp.
105,Dishwasher,San Juan,,Peoples Link Management & Manpower Services Co.
106,BPI Direct Banko IncSan Juan,San Juan,,BPI Direct Banko Inc
107,"Public Safety Mutual Benefit Fund, Inc. (PSMBFI)San Juan",San Juan,,"Public Safety Mutual Benefit Fund, Inc. (PSMBFI)"
108,Emme Security Group4.6San Juan,San Juan,,Emme Security Group
109,Warehouse and Production Staff,San Juan,,The Whole One Yard Inc.
110,Field Auditor,San Juan,,"RBQ Food Specialists, Inc. (Reyes Barbecue)"
111,Versatemp CorporationSan Juan,San Juan,,Versatemp Corporation
112,Family Driver,San Juan,,Sunrise Search and Support Inc.
113,HR Specialist - Training,San Juan,,BPI Direct Banko Inc
114,"Public Safety Mutual Benefit Fund, Inc. (PSMBFI)San Juan",San Juan,,"Public Safety Mutual Benefit Fund, Inc. (PSMBFI)"
115,"Public Safety Mutual Benefit Fund, Inc. (PSMBFI)San Juan",San Juan,,"Public Safety Mutual Benefit Fund, Inc. (PSMBFI)"
116,MetroSunniesSan Juan,San Juan,,MetroSunnies
117,Limketkai Manufacturing CorporationSan Juan,San Juan,,Limketkai Manufacturing Corporation
118,"Glenwood Technologies International, Inc.2.7San Juan",San Juan,,"Glenwood Technologies International, Inc."
119,"MICRODATA SYSTEMS AND MANAGEMENT, INC.San Juan",San Juan,,"MICRODATA SYSTEMS AND MANAGEMENT, INC."
120,Turnberry Ingredients CorporationSan Juan,San Juan,,Turnberry Ingredients Corporation
121,"Merchandising Coordinator | Greenhills, San Juan",San Juan,,Limketkai Manufacturing Corporation
122,Kraver's CanteenSan Juan,San Juan,,Kraver's Canteen
123,Microdata system and management IncRemote in San Juan,Remote in San Juan,,Microdata system and management Inc
124,"MICRODATA SYSTEMS AND MANAGEMENT, INC.San Juan",San Juan,,"MICRODATA SYSTEMS AND MANAGEMENT, INC."
125,MetroSunniesSan Juan,San Juan,,MetroSunnies
126,CXXVIII Lyons Realty Corp4.3Remote in San Juan,Remote in San Juan,,CXXVIII Lyons Realty Corp
127,"IDS Medical Systems Philippines, Inc.Remote in San Juan",Remote in San Juan,,"IDS Medical Systems Philippines, Inc."
128,World Solution Technology Inc.San Juan,San Juan,,World Solution Technology Inc.
129,"ICCT Colleges Foundation, Inc..2.3San Juan",San Juan,,"ICCT Colleges Foundation, Inc.."
130,"IDS Medical Systems Philippines, Inc.San Juan",San Juan,,"IDS Medical Systems Philippines, Inc."
131,"Glenwood Technologies International, Inc.2.7San Juan",San Juan,,"Glenwood Technologies International, Inc."
132,Jade Blue Petroleum Inc.San Juan,San Juan,,Jade Blue Petroleum Inc.
133,Assistant Product Manager,San Juan,,Goldtech International Inc
134,My RecruiterSan Juan,San Juan,,My Recruiter
135,"MICRODATA SYSTEMS AND MANAGEMENT, INC.San Juan",San Juan,"PHP 4,000 - PHP 5,000 a month","MICRODATA SYSTEMS AND MANAGEMENT, INC."
136,Cloud Panda PH Inc.San Juan,San Juan,"PHP 12,000 - PHP 13,000 a month",Cloud Panda PH Inc.
137,SAMS CORP.San Juan,San Juan,,SAMS CORP.
138,Hopia King BakerySan Juan,San Juan,,Hopia King Bakery
139,In-house Security Officer,San Juan,"PHP 13,962 a month","ICCT Colleges Foundation, Inc.."
140,Sales Representative,San Juan,"PHP 13,000 - PHP 18,000 a month","Contronics Computer Technologies, Inc."
141,Sales Administrative Assistant,San Juan,"PHP 14,000 - PHP 15,000 a month",Elite Headhunting
142,"MICRODATA SYSTEMS AND MANAGEMENT, INC.Remote in San Juan",Remote in San Juan,"PHP 20,000 - PHP 27,000 a month","MICRODATA SYSTEMS AND MANAGEMENT, INC."
143,Pan De Manila Food Co. Inc.Remote in San Juan,Remote in San Juan,,Pan De Manila Food Co. Inc.
144,Dealer Development Specialist,San Juan,"PHP 19,000 a month","Vespa Philippines, Inc."
145,"Trade Marketing Assistant | Greenhills, San Juan",San Juan,,Limketkai Manufacturing Corporation
146,CubixOffice Inc.San Juan,San Juan,"PHP 20,000 - PHP 23,000 a month",CubixOffice Inc.
147,Motor Image Pilipinas Inc.- SubaruSan Juan,San Juan,,Motor Image Pilipinas Inc.- Subaru
148,Vinland InternationalSan Juan,San Juan,"PHP 15,000 - PHP 20,000 a month",Vinland International
149,Mineski GlobalRemote in San Juan,Remote in San Juan,,Mineski Global
150,Jade Blue Petroleum Inc.San Juan,San Juan,"PHP 20,000 - PHP 22,000 a month",Jade Blue Petroleum Inc.
151,"Glenwood Technologies International, Inc.2.7San Juan",San Juan,"PHP 18,000 - PHP 22,000 a month","Glenwood Technologies International, Inc."
152,"Triumph Motorcyles Philippines, Inc.San Juan",San Juan,"PHP 15,000 a month","Triumph Motorcyles Philippines, Inc."
153,Global Resource for Outsourced Workers Inc.San Juan,San Juan,"PHP 22,000 - PHP 25,000 a month",Global Resource for Outsourced Workers Inc.
154,"IDS Medical Systems Philippines, Inc.San Juan",San Juan,,"IDS Medical Systems Philippines, Inc."
155,"First Nanyang Services, IncSan Juan",San Juan,,"First Nanyang Services, Inc"
156,Cook (House Cook),San Juan,,Sunrise Search and Support Inc.
157,Sales Representative,San Juan,,Gakken Philippines Inc.
158,Immaculate Conception Academy4.0San Juan,San Juan,,Immaculate Conception Academy
159,Sales Staff,San Juan,,Golden ABC
160,General Services Supervisor,San Juan,,"Integrated Computer Systems, Inc."
161,HAUSPLUS VENTURES INC.2.0San Juan,San Juan,"PHP 15,000 - PHP 18,000 a month",HAUSPLUS VENTURES INC.
162,Goldtech International IncSan Juan,San Juan,,Goldtech International Inc
163,Furniture Marketing Supervisor,San Juan,,Goldtech International Inc
164,New Era Cap PhilippinesSan Juan,San Juan,"PHP 20,000 - PHP 25,000 a month",New Era Cap Philippines
165,Front Desk Officer,San Juan,"PHP 16,000 - PHP 17,000 a month",Team Global Facility Solutions Inc.
166,Accounting Assistant,San Juan,,Pro-hygienics Human Resouce & Services Corp.
167,Ascent Pro (Professional Recruitment Outsourcing)Remote in San Juan,Remote in San Juan,"PHP 17,000 - PHP 18,000 a month",Ascent Pro (Professional Recruitment Outsourcing)
168,Accounting Assistant,San Juan,,"IDS Medical Systems Philippines, Inc."
169,Amici Foodservice Ventures Inc.4.3San Juan,San Juan,"PHP 15,000 - PHP 17,000 a month",Amici Foodservice Ventures Inc.
170,MetroSunniesSan Juan,San Juan,"PHP 15,000 a month",MetroSunnies
171,"Dwightsteel Building Systems, Inc.3.0San Juan",San Juan,"PHP 14,000 - PHP 15,000 a month","Dwightsteel Building Systems, Inc."
172,HR Supervisor,San Juan,,Omnibus Bio-Medical Systems Inc.
173,DB International Sales & Services IncSan Juan,San Juan,,DB International Sales & Services Inc
174,DB International Sales & Services IncSan Juan,San Juan,,DB International Sales & Services Inc
175,Mineski GlobalRemote in San Juan,Remote in San Juan,,Mineski Global
176,Account Manager,San Juan,,Goldtech International Inc
177,MetroSunniesSan Juan,San Juan,"PHP 20,000 a month",MetroSunnies
178,New Era Cap PhilippinesSan Juan,San Juan,"PHP 15,000 - PHP 18,000 a month",New Era Cap Philippines
179,Material Planner Assistant,San Juan,"PHP 15,000 - PHP 18,000 a month",RELISH GROUP
180,"Pointman Management Specialist, Inc.2.5San Juan",San Juan,,"Pointman Management Specialist, Inc."
181,Payroll Specialist/HR Specialist,San Juan,,RBT Consulting Corporation
182,Jade Blue Petroleum Inc.San Juan,San Juan,,Jade Blue Petroleum Inc.
183,Goldtech International IncSan Juan,San Juan,,Goldtech International Inc
184,Amici Foodservice Ventures Inc.4.3San Juan,San Juan,,Amici Foodservice Ventures Inc.
185,The Whole One Yard Inc.San Juan,San Juan,,The Whole One Yard Inc.
186,"IDS Medical Systems Philippines, Inc.San Juan",San Juan,,"IDS Medical Systems Philippines, Inc."
187,Installer,San Juan,,Goldtech International Inc
188,SAMS CORP.San Juan,San Juan,,SAMS CORP.
189,"Glenwood Technologies International, Inc.2.7San Juan",San Juan,,"Glenwood Technologies International, Inc."
190,World Solution Technology Inc.San Juan,San Juan,,World Solution Technology Inc.
191,Accountant,San Juan,,Omnibus Bio-Medical Systems Inc.
192,"RBQ Food Specialists, Inc. (Reyes Barbecue)San Juan",San Juan,,"RBQ Food Specialists, Inc. (Reyes Barbecue)"
193,MetroSunniesSan Juan,San Juan,,MetroSunnies
194,Logistic/Purchasing officer,San Juan,,Elite Headhunting
195,Accounting Assistant,San Juan,,Goldtech International Inc
196,Goldtech International IncSan Juan,San Juan,,Goldtech International Inc
197,Ascent Pro (Professional Recruitment Outsourcing)San Juan,San Juan,"PHP 35,000 - PHP 45,000 a month",Ascent Pro (Professional Recruitment Outsourcing)
198,Consult Asia Business Solutions & Advisory...San Juan,San Juan,"PHP 13,000 - PHP 15,000 a month",Consult Asia Business Solutions & Advisory...
199,Kings Manpower CooperativeSan Juan,San Juan,,Kings Manpower Cooperative
200,"Pacific Sun Solutions, Inc.San Juan",San Juan,"PHP 18,000 - PHP 20,000 a month","Pacific Sun Solutions, Inc."
201,Limketkai Manufacturing CorporationSan Juan,San Juan,,Limketkai Manufacturing Corporation
202,The Metroescapes Corp. (Seascape Village)San Juan,San Juan,"PHP 16,000 a month",The Metroescapes Corp. (Seascape Village)
203,Pro-hygienics Human Resouce & Services Corp.San Juan,San Juan,,Pro-hygienics Human Resouce & Services Corp.
204,Vinland InternationalSan Juan,San Juan,"PHP 18,000 - PHP 35,000 a month",Vinland International
205,Marketing/Brand Supervisor,San Juan,,Goldtech International Inc
206,Consult Asia Business Solutions & Advisory...San Juan,San Juan,"PHP 11,814 - PHP 13,962 a month",Consult Asia Business Solutions & Advisory...
207,PacificTech SolutionsSan Juan,San Juan,,PacificTech Solutions
208,John Clements Consultants IncSan Juan,San Juan,,John Clements Consultants Inc
209,AIMSTAFF INCORPORATED3.7San Juan,San Juan,,AIMSTAFF INCORPORATED
210,JC Premiere Business International Inc.San Juan,San Juan,"PHP 14,500 - PHP 15,500 a month",JC Premiere Business International Inc.
211,JC Premiere Business International Inc.San Juan,San Juan,"PHP 14,500 - PHP 15,000 a month",JC Premiere Business International Inc.
212,Atlanta Land Corporation3.3San Juan,San Juan,"PHP 17,000 a month",Atlanta Land Corporation
213,North Park Noodle House / Chinese Cuisine...4.0San Juan,San Juan,,North Park Noodle House / Chinese Cuisine...
214,JC Premiere Business International Inc.San Juan,San Juan,"PHP 16,000 - PHP 20,000 a month",JC Premiere Business International Inc.
215,Mountain Lake ResortSan Juan,San Juan,"PHP 16,000 - PHP 16,500 a month",Mountain Lake Resort
216,"Dwightsteel Building Systems, Inc.3.0San Juan",San Juan,"PHP 14,007 - PHP 17,000 a month","Dwightsteel Building Systems, Inc."
217,Turnberry Ingredients CorporationSan Juan,San Juan,"PHP 14,000 a month",Turnberry Ingredients Corporation
218,GFR Manpower and Janitorial Services Corp.San Juan,San Juan,"PHP 18,000 a month",GFR Manpower and Janitorial Services Corp.
219,Gakken Philippines Inc.San Juan,San Juan,,Gakken Philippines Inc.
220,"RBQ Food Concepts, Inc. (Reyes Barbecue)San Juan",San Juan,"PHP 17,000 - PHP 19,000 a month","RBQ Food Concepts, Inc. (Reyes Barbecue)"
221,GUR LAVI CORP.San Juan,San Juan,"PHP 15,000 - PHP 18,000 a month",GUR LAVI CORP.
222,BANANA PEELSan Juan,San Juan,"PHP 16,000 a month",BANANA PEEL
223,Atlanta Land Corporation3.3San Juan,San Juan,"PHP 16,000 - PHP 16,500 a month",Atlanta Land Corporation
224,CubixOffice Inc.San Juan,San Juan,"PHP 14,000 - PHP 15,000 a month",CubixOffice Inc.
225,"Triumph Motorcyles Philippines, Inc.San Juan",San Juan,,"Triumph Motorcyles Philippines, Inc."
226,CubixOffice Inc.San Juan,San Juan,,CubixOffice Inc.
227,Atlanta Land Corporation3.3San Juan,San Juan,,Atlanta Land Corporation
228,Atlanta Land Corporation3.3San Juan,San Juan,,Atlanta Land Corporation
229,"TOPWAY BUILDERS, INCSan Juan",San Juan,,"TOPWAY BUILDERS, INC"
230,Elite HeadhuntingSan Juan,San Juan,,Elite Headhunting
231,"Auto Nation Group Inc.,San Juan",San Juan,,"Auto Nation Group Inc.,"
232,"Pacific Sun Solutions, Inc.San Juan",San Juan,,"Pacific Sun Solutions, Inc."
233,Optimus Executive Search Solutions Inc.San Juan,San Juan,,Optimus Executive Search Solutions Inc.
234,"Meatworld International, Inc.San Juan",San Juan,,"Meatworld International, Inc."
235,"JSA, INC.San Juan",San Juan,,"JSA, INC."
236,JC Premiere Business International Inc.San Juan,San Juan,,JC Premiere Business International Inc.
237,Suarez Brothers Metal Arts IncSan Juan,San Juan,,Suarez Brothers Metal Arts Inc
238,Atlanta Land Corporation3.3San Juan,San Juan,,Atlanta Land Corporation
239,JC Premiere Business International Inc.San Juan,San Juan,,JC Premiere Business International Inc.
240,Mountain Lake ResortSan Juan,San Juan,"PHP 16,000 - PHP 16,500 a month",Mountain Lake Resort
241,Atlanta Land Corporation3.3San Juan,San Juan,"PHP 16,000 - PHP 16,500 a month",Atlanta Land Corporation
242,JC Premiere Business International Inc.San Juan,San Juan,"PHP 16,000 - PHP 19,000 a month",JC Premiere Business International Inc.
243,"RBQ Food Concepts, Inc. (Reyes Barbecue)San Juan",San Juan,PHP 537 a day,"RBQ Food Concepts, Inc. (Reyes Barbecue)"
244,UCC Coffee PhilippinesSan Juan,San Juan,"PHP 14,000 - PHP 16,000 a month",UCC Coffee Philippines
245,The Medical City ClinicSan Juan,San Juan,,The Medical City Clinic
246,VICE COSMETICS GROUP INC.San Juan,San Juan,"PHP 13,000 a month",VICE COSMETICS GROUP INC.
247,"Pointman Management Specialist, Inc.2.5San Juan",San Juan,PHP 537 a day,"Pointman Management Specialist, Inc."
248,Atlanta Land Corporation3.3San Juan,San Juan,"PHP 16,000 - PHP 20,000 a month",Atlanta Land Corporation
249,Gakken Philippines Inc.San Juan,San Juan,,Gakken Philippines Inc.
250,"Philchema, Inc.San Juan",San Juan,,"Philchema, Inc."
251,"Stark Asia Solutions, IncSan Juan",San Juan,"PHP 20,000 a month","Stark Asia Solutions, Inc"
252,Goldtech International IncSan Juan,San Juan,,Goldtech International Inc
253,BPI-Philam Life Assurance Corporation3.9San Juan,San Juan,"PHP 12,000 - PHP 15,000 a month",BPI-Philam Life Assurance Corporation
254,Siccion Holdings Inc.San Juan,San Juan,,Siccion Holdings Inc.
255,D.B. International Sales & Services Inc.San Juan,San Juan,,D.B. International Sales & Services Inc.
256,DB International Sales & Services IncSan Juan,San Juan,,DB International Sales & Services Inc
257,Aluform Prefab Construction and ConsultancySan Juan,San Juan,,Aluform Prefab Construction and Consultancy
258,Bright League Solution Inc. (BLSI)San Juan,San Juan,,Bright League Solution Inc. (BLSI)
259,Limketkai Manufacturing CorporationSan Juan,San Juan,,Limketkai Manufacturing Corporation
260,"Pacific Sun Solutions, Inc.San Juan",San Juan,,"Pacific Sun Solutions, Inc."
261,Bright League Solution Inc. (BLSI)San Juan,San Juan,,Bright League Solution Inc. (BLSI)
262,Belo Medical Group3.8San Juan,San Juan,,Belo Medical Group
263,Belo Medical Group3.8San Juan,San Juan,,Belo Medical Group
264,Belo Medical Group3.8San Juan,San Juan,,Belo Medical Group
265,V. V. Soliven Realty CorporationSan Juan,San Juan,,V. V. Soliven Realty Corporation
266,Belo Medical Group3.8San Juan,San Juan,,Belo Medical Group
267,Belo Medical Group3.8San Juan,San Juan,,Belo Medical Group
268,Belo Medical Group3.8San Juan,San Juan,,Belo Medical Group
269,"Autohub Group of Companies, Inc.3.8San Juan",San Juan,,"Autohub Group of Companies, Inc."
270,Belo Medical Group3.8San Juan,San Juan,,Belo Medical Group
271,Army Navy Burger + Burrito IncSan Juan,San Juan,,Army Navy Burger + Burrito Inc
272,"Integrated Computer Systems, Inc.San Juan",San Juan,,"Integrated Computer Systems, Inc."
273,BPI Direct Banko IncSan Juan,San Juan,,BPI Direct Banko Inc
274,VICE COSMETICS GROUP INC.San Juan,San Juan,,VICE COSMETICS GROUP INC.
275,"MICRODATA SYSTEMS AND MANAGEMENT, INC.San Juan",San Juan,,"MICRODATA SYSTEMS AND MANAGEMENT, INC."
276,PC Express3.7San Juan,San Juan,,PC Express
277,Megawide Construction Corporation3.8San Juan,San Juan,,Megawide Construction Corporation
278,North Park Noodle House3.7San Juan,San Juan,,North Park Noodle House
279,North Park Noodle House3.7San Juan,San Juan,,North Park Noodle House
280,"Padova Fine Food Technologies, Inc.San Juan",San Juan,,"Padova Fine Food Technologies, Inc."
281,Cavallino Inc.San Juan,San Juan,,Cavallino Inc.
282,The Medical City ClinicSan Juan,San Juan,,The Medical City Clinic
283,EO-Executive OpticalSan Juan,San Juan,,EO-Executive Optical
284,North Park Noodle House3.7San Juan,San Juan,,North Park Noodle House
285,EVI Distribution Inc3.9San Juan,San Juan,,EVI Distribution Inc
286,Jade Blue Petroleum Inc.San Juan,San Juan,,Jade Blue Petroleum Inc.
287,Expresspay Inc3.8Remote in San Juan,Remote in San Juan,,Expresspay Inc
288,PC Express3.7San Juan,San Juan,,PC Express
289,Angkas4.5San Juan,San Juan,,Angkas
290,Casamia Furniture Center Inc. (Our Home)San Juan,San Juan,,Casamia Furniture Center Inc. (Our Home)
291,"Happy Lemon Group Philippines, Inc.San Juan",San Juan,,"Happy Lemon Group Philippines, Inc."
292,"Padova Fine Food Technologies, Inc.San Juan",San Juan,,"Padova Fine Food Technologies, Inc."
293,BROADWAY GEMS/KALIN INCSan Juan,San Juan,,BROADWAY GEMS/KALIN INC
294,BusinessTrendsSan Juan,San Juan,,BusinessTrends
295,PC Express3.7San Juan,San Juan,,PC Express
296,"MICRODATA SYSTEMS AND MANAGEMENT, INC.Remote in San Juan",Remote in San Juan,,"MICRODATA SYSTEMS AND MANAGEMENT, INC."
297,North Park Noodle House3.7San Juan,San Juan,,North Park Noodle House
298,North Park Noodle House3.7San Juan,San Juan,,North Park Noodle House
299,"MICRODATA SYSTEMS AND MANAGEMENT, INC.San Juan",San Juan,,"MICRODATA SYSTEMS AND MANAGEMENT, INC."
300,"IDS Medical Systems Philippines, Inc.Remote in San Juan",Remote in San Juan,,"IDS Medical Systems Philippines, Inc."
301,"IDS Medical Systems Philippines, Inc.Remote in San Juan",Remote in San Juan,,"IDS Medical Systems Philippines, Inc."
302,SkinStationSan Juan,San Juan,,SkinStation
303,Goodway International Trading CorporationSan Juan,San Juan,,Goodway International Trading Corporation
304,Starbreaker Corp.San Juan,San Juan,,Starbreaker Corp.
305,Manfel Piastrelle Corporation (The Tile Gallery)San Juan,San Juan,,Manfel Piastrelle Corporation (The Tile Gallery)
306,JBW Managed Services & ConsultingSan Juan,San Juan,,JBW Managed Services & Consulting
307,Megawide Construction Corporation3.8San Juan,San Juan,,Megawide Construction Corporation
308,"MICRODATA SYSTEMS AND MANAGEMENT, INC.San Juan",San Juan,,"MICRODATA SYSTEMS AND MANAGEMENT, INC."
309,JBW Managed Services & ConsultingSan Juan,San Juan,,JBW Managed Services & Consulting
310,BusinessTrendsSan Juan,San Juan,,BusinessTrends
311,"Prime@Technology Specialists, Inc.San Juan",San Juan,,"Prime@Technology Specialists, Inc."
312,North Park Noodle House3.7San Juan,San Juan,,North Park Noodle House
313,Bayswater Realty and Development CorporationSan Juan,San Juan,,Bayswater Realty and Development Corporation
314,Faire Technologies Inc.2.3San Juan,San Juan,,Faire Technologies Inc.
315,"IDS Medical Systems Philippines, Inc.Remote in San Juan",Remote in San Juan,,"IDS Medical Systems Philippines, Inc."
316,"IDS Medical Systems Philippines, Inc.Remote in San Juan",Remote in San Juan,,"IDS Medical Systems Philippines, Inc."
317,SkinStationSan Juan,San Juan,,SkinStation
318,Goodway International Trading CorporationSan Juan,San Juan,,Goodway International Trading Corporation
319,Starbreaker Corp.San Juan,San Juan,,Starbreaker Corp.
320,Manfel Piastrelle Corporation (The Tile Gallery)San Juan,San Juan,,Manfel Piastrelle Corporation (The Tile Gallery)
321,JBW Managed Services & ConsultingSan Juan,San Juan,,JBW Managed Services & Consulting
322,Megawide Construction Corporation3.8San Juan,San Juan,,Megawide Construction Corporation
